test_code,model,variable,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,n
CA,bayesian,mu,0.8946005299106304,0.8483273301150038,0.9433977660579276,20698
CA,bayesian,sigma,1.2596979464458544,1.19079294550776,1.3325901217891971,20698
CA,bayesian,cv,1.285042780602106,1.2143686631237087,1.359830007248276,20698
CL,bayesian,mu,0.8928344549806148,0.8491682227627295,0.9387461078171646,20979
CL,bayesian,sigma,1.403993049419349,1.325007015619036,1.4876875817120945,20979
CL,bayesian,cv,1.4121863125659566,1.3334960767295618,1.495520096534247,20979
CO2,bayesian,mu,0.8647458614226332,0.8226660753799461,0.9089780498146948,21534
CO2,bayesian,sigma,1.263817674222786,1.197083314724859,1.334272305052556,21534
CO2,bayesian,cv,1.299284769158538,1.2323575282538408,1.369846714661877,21534
HB,bayesian,mu,0.7868183311760104,0.717249271864628,0.8631351896184933,12776
HB,bayesian,sigma,1.5822700296487724,1.4861187864932457,1.6846422166779509,12776
HB,bayesian,cv,1.606550302334328,1.509403283570986,1.7099498205836108,12776
HCT,bayesian,mu,0.8503712515863385,0.7834062346018134,0.9230603913843832,12606
HCT,bayesian,sigma,1.48785587071355,1.3956380427711197,1.5861670606379554,12606
HCT,bayesian,cv,1.4949772285267755,1.4045457382208186,1.5912311382929312,12606
IGAP,bayesian,mu,1.2009739614745876,1.1440852109893722,1.2606914609906297,21821
IGAP,bayesian,sigma,1.090978910164421,1.03620152931331,1.1486520225581172,21821
IGAP,bayesian,cv,0.94027710670914,0.8946496540711334,0.9882315757660992,21821
K,bayesian,mu,1.200129928791115,1.142207489023915,1.260989671159484,21181
K,bayesian,sigma,1.2599915509121775,1.1947136643316456,1.3288361519311898,21181
K,bayesian,cv,1.1964429483115993,1.135519087811371,1.2606355489132426,21181
MCH,bayesian,mu,0.9535953150839976,0.8966604892164887,1.01414530458986,12963
MCH,bayesian,sigma,1.460491730575798,1.3889301332291188,1.5357403832266214,12963
MCH,bayesian,cv,1.4498461391897268,1.3797303641679792,1.52352509005697,12963
MCHC,bayesian,mu,0.7564925883873717,0.7046600371454562,0.8121377772511524,13072
MCHC,bayesian,sigma,1.3644985356370574,1.2862967660082016,1.4474546643956985,13072
MCHC,bayesian,cv,1.3784323620368115,1.2999969178607422,1.4616002165890691,13072
MCV,bayesian,mu,1.1108836126548556,1.0413860797184529,1.185019105689162,13037
MCV,bayesian,sigma,1.4613466306155936,1.3890668119254463,1.5373875154726293,13037
MCV,bayesian,cv,1.4461509921826976,1.374952966249368,1.5210358052434667,13037
,bayesian,mu,0.9425616311813132,0.8944571734960437,0.9932531762283502,20668
,bayesian,sigma,1.3046118028784268,1.2337380142765089,1.3795570344063657,20668
,bayesian,cv,1.3071647106530533,1.2363652179644111,1.3820184812299243,20668
RDWCV,bayesian,mu,1.5761650967239853,1.467303507644634,1.693103300842515,12496
RDWCV,bayesian,sigma,1.4882374226090072,1.3998282979836818,1.5822302129798207,12496
RDWCV,bayesian,cv,1.452608431277666,1.3647021228285503,1.54617716153729,12496
WBC,bayesian,mu,1.228370140572574,1.157048547084419,1.3040880661856926,12784
WBC,bayesian,sigma,1.2252776263593763,1.1489279687883962,1.3067009442202644,12784
WBC,bayesian,cv,1.0317042886715675,0.9702129729449516,1.0970928743948043,12784
ALB,bayesian,mu,0.5855749745195196,0.5494981246511373,0.6240204204540887,15129
ALB,bayesian,sigma,1.2283329549695927,1.1594967565478305,1.301255773027332,15129
ALB,bayesian,cv,1.3144665015734949,1.243707152146717,1.3892516262984678,15129
ALK,bayesian,mu,1.3870512534122548,1.3267293952087758,1.450115740662969,14929
ALK,bayesian,sigma,1.4489112943236164,1.3918927012660582,1.5082656421065974,14929
ALK,bayesian,cv,1.3912415288022275,1.329640770656572,1.4556961806369626,14929
AST,bayesian,mu,0.9161561449344008,0.8588576135621505,0.9772773375319498,13465
AST,bayesian,sigma,1.2534066056879676,1.1779990973843737,1.333641190957225,13465
AST,bayesian,cv,1.3910884816127886,1.3091262639113406,1.4781822174234742,13465
BIL,bayesian,mu,0.8802994253685111,0.825674607885219,0.9385381007282438,14379
BIL,bayesian,sigma,1.0248422580098455,0.964739373521376,1.088689528622672,14379
BIL,bayesian,cv,1.146940563260676,1.0825478989213428,1.2151634647884508,14379
BUN,bayesian,mu,1.3105463303542175,1.2214106563198437,1.4061869160204434,17741
BUN,bayesian,sigma,1.3522387990264475,1.2686401807021934,1.4413462520006153,17741
BUN,bayesian,cv,1.1761384275107576,1.103436661332919,1.253630270899727,17741
GLU,bayesian,mu,1.1306449805865326,1.0670117403792774,1.1980731080532618,18027
GLU,bayesian,sigma,1.2673748153786182,1.2023317606202868,1.3359365320494592,18027
GLU,bayesian,cv,1.2798934984698993,1.2111341564947942,1.3525564931357457,18027
LYMPH,bayesian,mu,1.0006889846980835,0.919431345108723,1.0891280239936436,7597
LYMPH,bayesian,sigma,1.3706650679246182,1.2670655563715896,1.482735221537211,7597
LYMPH,bayesian,cv,1.4132245435220037,1.3160185524395485,1.5176105281423966,7597
MONOC,bayesian,mu,1.3092182662857454,1.2025857043148247,1.4253058743558218,7830
MONOC,bayesian,sigma,1.4606592798010731,1.3400531559552604,1.5921200753772342,7830
MONOC,bayesian,cv,1.14914477675463,1.0631782413294604,1.2420623998955955,7830
PLT,bayesian,mu,0.9924836127796356,0.929471196381707,1.059767882502081,13134
PLT,bayesian,sigma,1.4475712491662405,1.3662854726148712,1.5336930410321206,13134
PLT,bayesian,cv,1.440857702614115,1.3659055817430814,1.5199227142282237,13134
RBC,bayesian,mu,0.8122847678729156,0.7411419746625064,0.8902566130042928,12181
RBC,bayesian,sigma,1.672623859331969,1.5514747311754766,1.8032330908070369,12181
RBC,bayesian,cv,1.7049580666408657,1.5810511628779358,1.8385755485056257,12181
TNEUT,bayesian,mu,1.4223169690093622,1.3207540949685137,1.5316897884614975,8003
TNEUT,bayesian,sigma,1.3893352425484522,1.2784045694868569,1.5098916745596094,8003
TNEUT,bayesian,cv,0.9888091615578508,0.911852753627671,1.0722603557328,8003
TP,bayesian,mu,0.9482964792537242,0.891611143215565,1.0085856591269553,14581
TP,bayesian,sigma,1.3300256965041073,1.2505239535370682,1.4145817426029812,14581
TP,bayesian,cv,1.3504940881605338,1.2708624169967604,1.4351154442559937,14581
A1C,bayesian,mu,1.242844633703513,0.8670859645391664,1.7814413411092032,451
A1C,bayesian,sigma,1.3659318382161525,1.0231574917605142,1.8235411475531371,451
A1C,bayesian,cv,1.323642392914088,0.9895474772041872,1.7705357496028584,451
ALT,bayesian,mu,0.8525337283482847,0.7933896516658738,0.9160867632257894,14069
ALT,bayesian,sigma,1.1818083030704365,1.1149765328470316,1.2526459742070997,14069
ALT,bayesian,cv,1.350512731235216,1.2854493815815728,1.4188692789943678,14069
CHOL,bayesian,mu,0.722531042325176,0.6669510794616891,0.7827427276148411,8521
CHOL,bayesian,sigma,1.0195899432113602,0.9423060649552352,1.103212311752583,8521
CHOL,bayesian,cv,1.1211052965936432,1.041427231447591,1.206879413267553,8521
CRE,bayesian,mu,1.0866440433688394,1.0058720253024411,1.1739020941893117,18497
CRE,bayesian,sigma,1.4126337200130967,1.3395050637578958,1.4897547466671737,18497
CRE,bayesian,cv,1.4213414989533544,1.3464390313391397,1.5004107944180056,18497
HDL,bayesian,mu,0.9637719436858916,0.8584830134131524,1.081974069286635,6797
HDL,bayesian,sigma,1.3390144160035329,1.212723161984778,1.478457460423921,6797
HDL,bayesian,cv,1.3641020410520004,1.243852120976517,1.495977172062372,6797
NONHDL,bayesian,mu,0.6975859450960803,0.6421155009517487,0.7578483155667638,9912
NONHDL,bayesian,sigma,1.0100664373020103,0.9360991117203862,1.0898784060257942,9912
NONHDL,bayesian,cv,1.1436651018766146,1.0669728076916556,1.2258699151669823,9912
TRIG,bayesian,mu,1.0418712320239611,0.9558874712269764,1.1355893834718698,7996
TRIG,bayesian,sigma,1.0311436091917336,0.9448086621259772,1.1253676912576651,7996
