test_code,model,baseline_label,baseline_index,variable,hr,ci_lower,ci_upper,n
A1C,bayesian,1,1,mu,1.2352313660869512,0.673506097148109,2.265453177374134,429
A1C,bayesian,1,1,cv,1.0765498595591676,0.6405194469667197,1.8094057965067236,429
ALB,bayesian,1,1,mu,0.6387624576774253,0.5747196739648724,0.7099417260649461,10972
ALB,bayesian,1,1,cv,1.2026196075280953,1.0899056117109882,1.32699006672749,10972
ALK,bayesian,1,1,mu,1.2348184509741134,1.1383200927514412,1.3394972262859397,11007
ALK,bayesian,1,1,cv,1.0551689305109864,0.9579943148265992,1.162200500237024,11007
ALT,bayesian,1,1,mu,0.7915507413391467,0.6969183964722336,0.8990329130155421,9984
ALT,bayesian,1,1,cv,1.239036172696225,1.128297885989453,1.3606430148572124,9984
AST,bayesian,1,1,mu,0.9015788502578986,0.810388473175081,1.0030305836503957,9730
AST,bayesian,1,1,cv,1.1472614777140269,1.0359990929230476,1.270473021875839,9730
BIL,bayesian,1,1,mu,0.8043846639118953,0.7230492915141451,0.8948694025848373,10564
BIL,bayesian,1,1,cv,1.103411209797384,0.9993477221487298,1.2183109751715906,10564
BILD,bayesian,1,1,mu,0.9633916154750752,0.7052549100230994,1.3160112628457648,664
BILD,bayesian,1,1,cv,1.2585630700589696,1.0156691788652468,1.5595442239233417,664
BUN,bayesian,1,1,mu,1.243108529367959,1.1057751238686726,1.3974982638250228,11090
BUN,bayesian,1,1,cv,1.00166360093176,0.8929796251685982,1.123575433473241,11090
CA,bayesian,1,1,mu,0.8815783223099716,0.8021062116292003,0.9689244729676038,12822
CA,bayesian,1,1,cv,1.143018101062406,1.0359092402152543,1.2612015885530947,12822
CHOL,bayesian,1,1,mu,0.7299171601563373,0.6150602531218231,0.866222549720127,4313
CHOL,bayesian,1,1,cv,1.0867047865170294,0.9189930515445756,1.2850230924534272,4313
CL,bayesian,1,1,mu,0.9352053866962288,0.8556738367185681,1.0221290844414386,13061
CL,bayesian,1,1,cv,1.0072635695136694,0.9189118985991016,1.104110089352597,13061
CO2,bayesian,1,1,mu,0.8734521007435445,0.799635028081963,0.954083482464842,13417
CO2,bayesian,1,1,cv,1.117300840186993,1.0170904038884807,1.2273846677836102,13417
CRE,bayesian,1,1,mu,0.9907159369650446,0.8689595366958942,1.1295325343785525,12097
CRE,bayesian,1,1,cv,1.1237607793228974,1.0077723540189,1.2530987619459169,12097
FER,bayesian,1,1,mu,0.9011653812217648,0.6007356263084336,1.3518409908581246,515
FER,bayesian,1,1,cv,1.047688088341046,0.7069312012711707,1.552697530506465,515
GLU,bayesian,1,1,mu,1.011874495733884,0.9136763582379148,1.1206265609097532,11603
GLU,bayesian,1,1,cv,1.2520765790813222,1.1350531698649522,1.3811650427534683,11603
HB,bayesian,1,1,mu,0.771805514875614,0.6655980179566848,0.8949602263256393,9080
HB,bayesian,1,1,cv,1.2133838440923916,1.0818737190006549,1.3608800428800676,9080
HCT,bayesian,1,1,mu,0.7930923773541111,0.6960760408123531,0.903630468710184,8878
HCT,bayesian,1,1,cv,1.168922488276271,1.0417151519124823,1.3116635397780818,8878
HDL,bayesian,1,1,mu,0.9792210205413716,0.7643075549292828,1.2545653917535913,4038
HDL,bayesian,1,1,cv,1.183070816888539,0.9596440968482696,1.4585163003348487,4038
HSCRP,bayesian,1,1,mu,1.4465912963760583,1.1175126337726058,1.872575141890323,1348
HSCRP,bayesian,1,1,cv,1.5039728858261558,1.1213566901427356,2.017140898327665,1348
IGAP,bayesian,1,1,mu,1.153578007651103,1.0569367241508487,1.2590557119731245,13247
IGAP,bayesian,1,1,cv,1.0010914375957731,0.9152284814891044,1.0950097016178826,13247
K,bayesian,1,1,mu,1.0950013235188534,1.0016792096681897,1.1970178545536785,13090
K,bayesian,1,1,cv,1.1011791641380282,1.0036543644064275,1.2081804200083055,13090
LD,bayesian,1,1,mu,0.912184494690916,0.6332050725469622,1.3140775215328202,300
LD,bayesian,1,1,cv,0.8527348029511715,0.5846839154079111,1.2436747873538894,300
LYMPH,bayesian,1,1,mu,0.8696573080093064,0.7653851162950694,0.9881350150039044,6747
LYMPH,bayesian,1,1,cv,1.2738991907465689,1.1440970307021074,1.4184278995889656,6747
MCH,bayesian,1,1,mu,0.9150406029950148,0.8268841871012079,1.0125956188191052,9209
MCH,bayesian,1,1,cv,1.2200842474235054,1.1089109225231206,1.3424031999107164,9209
MCHC,bayesian,1,1,mu,0.7581924809706522,0.6757098882464349,0.850743563472583,9307
